FundManagerID,Funmager,DegreeID,Degree,UniversityID,University,Major,MajorChara
30378247,仇秉则,3,本科,10229546,中山大学,经济学,5
30378193,陈渭泉,2,硕士研究生,,N/A,N/A,
30377480,陈杰明,2,硕士研究生,,N/A,N/A,
30378194,陈文涛,3,本科,,N/A,N/A,
30378249,崔莹,2,硕士研究生,,N/A,N/A,
30378195,陈晓晨,2,硕士研究生,,N/A,工商管理,3
30377482,陈进贤,N/A,,10144042,新加坡国立大学,N/A,
30378196,陈晓秋,2,硕士研究生,,N/A,N/A,
30378252,崔惠军,2,硕士研究生,10123973,中国人民大学,经济学,5
30378197,陈苏桥,2,硕士研究生,10143851,清华大学,经济学,5
30377483,陈晶光,2,硕士研究生,10143735,南开大学,货币银行,5
30378253,崔健,2,硕士研究生,10229548,中央财经大学,金融学,5
30378198,陈欣,2,硕士研究生,,N/A,N/A,
30377487,陈俊华,2,硕士研究生,10226507,上海交通大学,金融学,5
30430086,祗飞跃,1,博士研究生,,N/A,数学,1
30378199,陈怡,2,硕士研究生,,N/A,金融学,5
30378262,戴春平,1,博士研究生,10123973,中国人民大学,经济学,5
30378200,陈颖,2,硕士研究生,10229546,中山大学,工商管理,3
30378263,戴鹤忠,1,博士研究生,10228718,北京科技大学,管理科学与工程,6
30377495,陈立秋,2,硕士研究生,,N/A,"工商管理,工学",3
30377495,陈立秋,4,MBA/EMBA,,N/A,金融财务,5
30378473,丁加波,2,硕士研究生,,N/A,经济学,5
30378264,戴杰,3,本科,10149414,复旦大学,数学,1
30378264,戴杰,2,硕士研究生,10149414,复旦大学,数学,1
30377498,陈利宏,2,硕士研究生,10229041,英国剑桥大学,工程学,1
30378265,戴骏,2,硕士研究生,10241649,美国密歇根大学,金融工程,5
30378490,邓永健,2,硕士研究生,10233415,英国兰卡斯特大学,工商管理,3
30378514,刁晖宇,2,硕士研究生,10388486,美国堪萨斯大学,"工商管理,工程学",3
30378269,邓良毅,1,博士研究生,10143869,武汉大学,经济学,5
30378592,杜峻,2,硕士研究生,10143850,北京大学光华管理学院,N/A,
30378594,范琨,2,硕士研究生,10149414,复旦大学,金融学,5
30378594,范琨,3,本科,10228993,湖南大学,化学工程,1
30378302,邓翔,2,硕士研究生,10229546,中山大学,国际贸易,5
30378595,杜骐臻,2,硕士研究生,,N/A,N/A,
30378472,邓钟锋,2,硕士研究生,10143878,厦门大学,金融学,5
30378658,郭建新,2,硕士研究生,10128393,西南财经大学,经济学,5
30378662,郭楷泽,2,硕士研究生,10149414,复旦大学,工商管理,3
30378662,郭楷泽,3,本科,10123973,中国人民大学,工业经济学,5
30378663,郭堃,2,硕士研究生,,N/A,N/A,
30378596,方晔,2,硕士研究生,,N/A,管理学,6
30378669,郭鹏,2,硕士研究生,,N/A,经济学,5
30378597,范磊,2,硕士研究生,,N/A,N/A,
30378670,郭瑞,2,硕士研究生,10226864,中国科学院研究生院,概率论与数理统计,1
30378598,杜位移,2,硕士研究生,104432,中国人民银行总行金融研究所,金融学,5
30378671,韩刚,3,本科,10123973,中国人民大学,经济学,5
30378671,韩刚,2,硕士研究生,104432,中国人民银行研究生部,经济学,5
30378599,方毅,2,硕士研究生,10143861,上海财经大学,工商管理,3
30378672,郭树强,2,硕士研究生,,N/A,经济学,5
30378673,郭晓林,2,硕士研究生,10143851,清华大学,N/A,
30378674,郭毅,2,硕士研究生,10143861,上海财经大学,企业管理,3
30378601,杜晓安,2,硕士研究生,10207356,英国阿斯顿大学,商业管理,3
30378675,顾少华,3,本科,,N/A,工学,1
30378602,房雷,2,硕士研究生,10228933,哈尔滨工业大学,概率论与数理统计,1
30378602,房雷,3,本科,10228933,哈尔滨工业大学,信息与计算科学,1
30378679,顾伟勇,2,硕士研究生,,N/A,工学,1
30378680,国晓雯,2,硕士研究生,,N/A,经济学,5
30378681,顾晓飞,3,本科,,N/A,N/A,
30378682,韩浩,3,本科,10143869,武汉大学,理学,1
30378682,韩浩,2,硕士研究生,10143850,北京大学,经济学,5
30378683,关子宏,2,硕士研究生,,N/A,经济学,5
30378603,方芳,2,硕士研究生,,N/A,N/A,
30378604,段福印,2,硕士研究生,10224613,华东师范大学,国际金融学,5
30378605,高广新,2,硕士研究生,,N/A,N/A,
30378684,管瑞龙,1,博士研究生,10123973,中国人民大学,经济学,5
30378684,管瑞龙,1,博士研究生,10123973,中国人民大学,金融学,5
30378606,高红兵,1,博士研究生,,N/A,管理工程,6
30378690,何如克,1,博士研究生,10241660,英国利兹大学,N/A,
30378607,方抗,2,硕士研究生,,N/A,金融学,5
30378691,韩庭博,2,硕士研究生,10403039,英国雷丁大学,金融工程,5
30378624,付斌,2,硕士研究生,,N/A,理学,1
30378692,韩威俊,2,硕士研究生,10143861,上海财经大学,金融学,5
30378625,付海宁,3,本科,10143851,清华大学,机械工程与自动化,1
30378625,付海宁,2,硕士研究生,10108675,哥伦比亚大学,运筹学,1
30378625,付海宁,2,硕士研究生,10388187,加州大学伯克利分校,金融工程,5
30378694,韩玮,2,硕士研究生,10143851,清华大学,工商管理,3
30378517,丁靓,2,硕士研究生,,N/A,金融学,5
30378695,何贤,3,本科,10226532,上海理工大学,管理学,6
30378695,何贤,2,硕士研究生,10233415,英国兰卡斯特大学,理学,1
30378696,何翔,3,本科,10143735,南开大学,数学,1
30378696,何翔,2,硕士研究生,10143735,南开大学,金融学,5
30378518,丁硕,2,硕士研究生,,N/A,工商管理,3
30378627,付琦,2,硕士研究生,10388184,加拿大渥太华大学,工商管理,3
30378519,丁孙楠,2,硕士研究生,10123973,中国人民大学,金融学,5
30378710,郝兵,2,硕士研究生,,N/A,经济学,5
30378628,付伟琦,1,博士研究生,10143851,清华大学,物理学,1
30378628,付伟琦,3,本科,10143871,西安交通大学,物理学,1
30378520,丁楹,2,硕士研究生,10104898,中国社会科学院财贸所,货币银行,5
30378770,高勇标,2,硕士研究生,10128393,西南财经大学,N/A,
30378715,洪宴,2,硕士研究生,10143850,北京大学,商务统计与经济计量,6
30378562,丁丹,2,硕士研究生,,N/A,经济学,5
30378718,郝继伦,1,博士研究生,,N/A,N/A,
30378731,郝建国,2,硕士研究生,10229546,中山大学,经济学,5
30378567,丁玥,2,硕士研究生,,N/A,金融工程,5
30378751,何震,2,硕士研究生,,N/A,经济学,5
30378752,高晓琴,2,硕士研究生,,N/A,N/A,
30378753,何钟,2,硕士研究生,10229126,美国南加州大学,工商管理,3
30378572,董瑞倩,2,硕士研究生,,N/A,N/A,
30378754,侯建刚,2,硕士研究生,,N/A,经济学,5
30378585,窦玉明,2,硕士研究生,10143851,清华大学,N/A,
30378755,高欣,2,硕士研究生,10238976,香港大学,经济学,5
30378755,高欣,2,硕士研究生,10238973,香港中文大学,电子工程学,1
30378755,高欣,2,硕士研究生,10238973,香港中文大学,哲学,7
30378758,贺翔,2,硕士研究生,10123973,中国人民大学,金融,5
30378771,候燕琳,2,硕士研究生,,N/A,管理学,6
30378773,何旻,2,硕士研究生,10229098,英国伦敦政治经济学院,金融经济学,5
30378762,高亚华,2,硕士研究生,,N/A,商业,5
30378588,杜斌,3,本科,,N/A,经济学,5
30378765,何了乙,2,硕士研究生,10226510,同济大学,工商管理,3
30378589,段鹏,2,硕士研究生,10229548,中央财经大学,经济学,5
30378781,高远,1,博士研究生,10149414,复旦大学,经济学,5
30378590,樊智,1,博士研究生,10229379,天津大学,N/A,
30378767,高阳,2,硕士研究生,10226888,对外经济贸易大学,国际贸易,5
30378785,高云志,2,硕士研究生,10226507,上海交通大学,应用数学,1
30378768,贺云,3,本科,,N/A,经济学,5
30378768,贺云,N/A,,10143850,北京大学,国际金融,5
30378769,高永,2,硕士研究生,,N/A,N/A,
30378591,范冰,2,硕士研究生,,N/A,商学,5
30378832,傅浩,2,硕士研究生,10229546,中山大学,金融学,5
30378911,黄顺祥,2,硕士研究生,10143869,武汉大学,经济学,5
30378833,黄敬东,2,硕士研究生,10149381,华南理工大学,工学,1
30378912,冯明远,2,硕士研究生,10229494,浙江大学,工学,1
30378834,黄刚,2,硕士研究生,,N/A,经济学,5
30378834,黄刚,2,硕士研究生,,N/A,国际金融学,5
30378933,邓跃辉,2,硕士研究生,,N/A,N/A,
30378835,黄力,2,硕士研究生,,N/A,N/A,
30378836,黄立华,2,硕士研究生,,N/A,理学,1
30378836,黄立华,2,硕士研究生,,N/A,工商管理,3
30378934,高峰,1,博士研究生,10143850,北京大学,理学,1
30378838,黄海峰,3,本科,10143735,南开大学,经济学,5
3025948,崔海鸿,2,硕士研究生,10143851,清华大学,工学,1
30378935,黄维,2,硕士研究生,10143850,北京大学,微电子学,1
30378839,黄林,3,本科,10123973,中国人民大学,管理学,6
30378839,黄林,2,硕士研究生,10229548,中央财经大学,金融学,5
30378951,冯天戈,2,硕士研究生,,N/A,"经济学,理学",5
30378841,傅奕翔,2,硕士研究生,10143861,上海财经大学,经济学,5
30378840,黄浩荣,2,硕士研究生,10143878,厦门大学,管理学,6
30378843,黄倩倩,2,硕士研究生,10128393,西南财经大学,金融学,5
30378845,胡兴,2,硕士研究生,10385848,加拿大蒙特利尔大学,工商管理,3
30378852,黄钦来,2,硕士研究生,10143878,厦门大学,经济学,5
30378859,胡宇权,2,硕士研究生,,N/A,经济学,5
30378875,胡允畧,3,本科,10143937,加拿大麦吉尔大学,经济及金融管理,5
30378787,何奇,3,本科,10143869,武汉大学,"经济学,法学",5
30378787,何奇,2,硕士研究生,10143869,武汉大学,经济学,5
30378876,黄瑞麒,3,本科,10238973,香港中文大学,N/A,
30378876,黄瑞麒,2,硕士研究生,10238981,香港科技大学,工商管理,3
30378799,葛基标,1,博士研究生,,N/A,经济学,5
30378897,邓岳,2,硕士研究生,,N/A,信息与信号处理,1
30378800,何如,2,硕士研究生,,N/A,N/A,
30378898,甘传琦,2,硕士研究生,10143850,北京大学,金融学,5
30378899,黄瑞庆,2,硕士研究生,10143878,厦门大学,经济学,5
30378899,黄瑞庆,1,博士研究生,10143878,厦门大学,统计学,1
30378801,胡彬,2,硕士研究生,,N/A,N/A,
30378909,黄盛,1,博士研究生,,N/A,经济学,5
30379004,蒋茜,2,硕士研究生,10143851,清华大学,工商管理,3
30378808,胡德军,1,博士研究生,,N/A,N/A,
30378815,胡定超,2,硕士研究生,,N/A,N/A,
30379006,金涛,2,硕士研究生,,N/A,经济学,5
30379156,蒋一茜,2,硕士研究生,,N/A,N/A,
30378824,宫幼林,2,硕士研究生,,N/A,计算机科学与技术,1
30378825,宫志芳,2,硕士研究生,10143869,武汉大学,数理金融,5
30378826,华昕,4,MBA/EMBA,10229160,牛津大学商学院,工商管理,3
30378828,冯皓,N/A,,10226888,对外经济贸易大学,N/A,
30378828,冯皓,2,硕士研究生,10108675,美国哥伦比亚大学商学院,工商管理,3
30378829,黄华,2,硕士研究生,10143861,上海财经大学,产业经济学,5
30378956,姜云飞,3,本科,,N/A,N/A,
30378959,蒋伯龙,2,硕士研究生,,N/A,经济学,5
30378831,黄纪亮,2,硕士研究生,,N/A,N/A,
30378962,黄祥斌,2,硕士研究生,10143869,武汉大学,产业经济学,5
30378965,姜锡峰,2,硕士研究生,10143861,上海财经大学,管理学,6
30378985,冯肖武,2,硕士研究生,,N/A,N/A,
30378989,解静,2,硕士研究生,10229160,牛津大学,计算机科学,1
30378990,黄毓平,2,硕士研究生,,N/A,N/A,
30378992,冯烜,2,硕士研究生,10123973,中国人民大学,经济学,5
30378996,蒋畅,2,硕士研究生,,N/A,N/A,
30378998,蒋佳良,2,硕士研究生,10386461,法兰克福大学,金融学,5
3026782,钟志伟,3,本科,10149380,中南财经大学,金融,5
30378999,蒋磊,2,硕士研究生,,N/A,N/A,
3026888,张学军,2,硕士研究生,10143850,北京大学,经济学,5
30379001,蒋利娟,2,硕士研究生,,N/A,国民经济学,5
3027934,李洪雨,2,硕士研究生,,N/A,经济学,5
30379003,金晟哲,2,硕士研究生,10143850,北京大学,N/A,
3028504,程国发,2,硕士研究生,10143871,西安交通大学,经济法,5
3028508,游海,2,硕士研究生,10229437,西南交通大学,工商管理,3
30379555,李广瑜,2,硕士研究生,,N/A,N/A,
30379579,李国飞,2,硕士研究生,,N/A,N/A,
3029518,贺庆,2,硕士研究生,,N/A,经济学,5
30379591,李家亮,2,硕士研究生,10226507,上海交通大学,工商管理,3
30379598,李嘉,2,硕士研究生,,N/A,N/A,
30379667,孔祥鹏,2,硕士研究生,10143850,北京大学,理学,1
3029738,李华,3,本科,10149414,复旦大学,遗传工程,7
3029738,李华,2,硕士研究生,104432,中国人民银行,货币银行学,5
30379689,李海涛,2,硕士研究生,,N/A,工商管理,3
30379691,孔晓语,2,硕士研究生,10389495,美国罗彻斯特大学,金融学,5
30379697,李晗,2,硕士研究生,10149380,中南财经政法大学,N/A,
30379699,江晖,2,硕士研究生,,N/A,会计学,4
30379704,李浩东,1,博士研究生,10389511,美国麻省大学,N/A,
30379712,蒯学章,2,硕士研究生,10143850,北京大学,N/A,
30379795,姜光明,2,硕士研究生,10144082,江西财经大学金融学院,经济学,5
30379195,黎海威,2,硕士研究生,,N/A,经济学,5
30379797,李康,1,博士研究生,,N/A,N/A,
30379828,李岚,1,博士研究生,10143735,南开大学,金融学,5
30379832,姜涛,1,博士研究生,10226507,上海交通大学,产业经济学,5
30379199,黎新平,1,博士研究生,,N/A,经济学,5
30379223,李安杰,2,硕士研究生,10387284,台湾成功大学,财务金融,5
30379835,雷勇,1,博士研究生,10396110,佐治亚理工学院,工学,1
30379835,雷勇,4,MBA/EMBA,10229522,芝加哥大学商学院,工商管理,3
30379284,李炳智,3,本科,10143735,南开大学,金融学,5
30379304,李博涵,2,硕士研究生,,N/A,N/A,
30379310,李博良,2,硕士研究生,10144042,新加坡国立大学,金融工程,5
30379316,黄镇辉,2,硕士研究生,,N/A,经济学,5
30379361,李匆,1,博士研究生,,N/A,管理学,6
30379841,李立,2,硕士研究生,10123973,中国人民大学,经济学,5
30379388,黄卓立,1,博士研究生,,N/A,经济学,5
30379388,黄卓立,2,硕士研究生,,N/A,经济学,5
30379415,李丹,2,硕士研究生,,N/A,经济学,5
30379846,雷志强,2,硕士研究生,10226737,南京大学,会计学,4
30379417,李丹,2,硕士研究生,10143851,清华大学五道口金融学院,金融学,5
30379852,冷文鹏,2,硕士研究生,104432,中国人民银行研究生部,金融学,5
30379879,李玲,2,硕士研究生,10108675,美国哥伦比亚大学,N/A,
30379471,李德辉,1,博士研究生,10226507,上海交通大学,生物医学工程,7
30379887,李明,3,本科,10226504,中国纺织大学,自动化,1
30379477,李冬,N/A,,10403039,英国雷丁大学,证券投资与银行学,5
30379477,李冬,2,硕士研究生,,N/A,理学,1
30379887,李明,2,硕士研究生,10143953,华中理工大学,自动化,1
30379540,李峰,2,硕士研究生,,N/A,N/A,
30379545,李富强,2,硕士研究生,10143850,北京大学,西方经济学,5
30379892,李孟霞,2,硕士研究生,10387284,台湾成功大学,法学,7
30380015,林聪,2,硕士研究生,104432,中国人民银行研究生部,N/A,
30380020,林宇坤,1,博士研究生,,N/A,N/A,
30379968,冯耀东,2,硕士研究生,10143869,武汉大学,N/A,
30380024,李一鸣,2,硕士研究生,10143850,北京大学,N/A,
30380027,林翠萍,2,硕士研究生,10449839,美国斯克兰顿大学,企业管理,3
30379980,梁钧,1,博士研究生,10226507,上海交通大学,企业管理,3
30380028,李一硕,2,硕士研究生,,N/A,经济学,5
30379983,梁珂,2,硕士研究生,10143850,北京大学,理学,1
30379717,况群峰,2,硕士研究生,,N/A,经济学,5
30379984,梁天喜,2,硕士研究生,,N/A,工学,1
30379719,江隆隆,2,硕士研究生,10241651,美国杜兰大学,工商管理,3
30379993,梁文涛,1,博士研究生,,N/A,管理学,6
30379727,李洪波,2,硕士研究生,10143850,北京大学,经济学,5
30379994,李延刚,3,本科,10226737,南京大学,化学,1
30379994,李延刚,2,硕士研究生,10391022,加拿大西蒙弗雷泽大学,工商管理,3
30380033,林铮,2,硕士研究生,10143878,厦门大学,经济学,5
30379750,赖海英,2,硕士研究生,10226522,上海师范大学,应用数学,1
30380007,李杨,3,本科,10229377,天津财经大学,国际经济与贸易,5
30380034,李弋,2,硕士研究生,,N/A,工学,1
30380034,李弋,2,硕士研究生,,N/A,理学,1
30380034,李弋,2,硕士研究生,,N/A,工商管理,3
30379752,江涌,3,本科,,N/A,"经济学,法学",5
30379756,赖晶铭,2,硕士研究生,,N/A,经济学,5
30379769,江作良,2,硕士研究生,10143861,上海财经大学,经济学,5
30379772,李怀忠,2,硕士研究生,10241643,美国卡内基梅隆大学,"金融,化学",5
30379783,李凯,1,博士研究生,10385464,纽约大学,金融学,5
30380180,李枝蓬,1,博士研究生,,N/A,应用化学,1
30380184,李志,2,硕士研究生,,N/A,N/A,
30380191,李志嘉,2,硕士研究生,10224604,首都经济贸易大学,经济学,5
30380199,李涛,2,硕士研究生,10143850,北京大学,金融学,5
30380203,李准,2,硕士研究生,10128393,西南财经大学,技术经济及管理,3
30380206,李曈,2,硕士研究生,,N/A,N/A,
30380207,凌鹏,2,硕士研究生,10149414,复旦大学,N/A,
30380209,李文杰,3,本科,10238973,香港中文大学,工商管理,3
30380224,林继东,2,硕士研究生,10450108,比利时LIMBURG大学,工商管理,3
30380228,林念,1,博士研究生,10143850,北京大学,宏观经济学,5
30380227,林开盛,2,硕士研究生,10143861,上海财经大学,金融学,5
30380226,林静,2,硕士研究生,10143861,上海财经大学,金融学,5
30380229,林如惠,2,硕士研究生,,N/A,N/A,
30380230,林思,2,硕士研究生,10143735,南开大学,金融工程,5
30380231,林贤苏,2,硕士研究生,,N/A,经济学,5
30380232,林义将,2,硕士研究生,,N/A,N/A,
30380035,廖发达,1,博士研究生,,N/A,N/A,
30380106,李游,2,硕士研究生,10149380,中南财经政法大学,金融学,5
30380110,李友超,2,硕士研究生,10143953,华中科技大学,数量经济,5
30380112,靳奕,2,硕士研究生,10241632,新南威尔士大学,工商管理,3
30380112,靳奕,N/A,,10226888,对外经贸大学金融学院,国际金融,5
30380052,廖京胜,2,硕士研究生,10143869,武汉大学,经济学,5
30380125,李泉霖,2,硕士研究生,10143861,上海财经大学,工商管理,3
30380233,林英睿,2,硕士研究生,10143850,北京大学,经济学,5
30380057,李崟,2,硕士研究生,,N/A,工商管理,3
30380063,李颖,1,博士研究生,,N/A,管理学,6
30380278,刘海,3,本科,10143851,清华大学,经济学,5
30380054,林峰,2,硕士研究生,10226507,上海交通大学,工商管理,3
30380054,林峰,2,硕士研究生,10149414,复旦大学,经济学,5
30380075,金拓,2,硕士研究生,10143850,北京大学,金融信息工程,5
30380075,金拓,2,硕士研究生,10143850,北京大学,软件工程,1
30380087,林国辉,3,本科,,N/A,工商管理,3
30380087,林国辉,3,本科,,N/A,财务学,4
30380099,金梓才,2,硕士研究生,10226507,上海交通大学,工学,1
30380104,靳冰馨,3,本科,,N/A,N/A,
30380299,刘红兵,2,硕士研究生,,N/A,应用金融,5
30380300,刘红海,3,本科,10226870,中南民族学院,工学,1
30380366,刘辉,2,硕士研究生,,N/A,N/A,
30380126,李昱,2,硕士研究生,,N/A,管理学,6
30380738,刘翔,2,硕士研究生,,N/A,工商管理,3
30380744,厉叶淼,2,硕士研究生,,N/A,N/A,
30380751,连端清,1,博士研究生,10149414,复旦大学,经济学,5
30380753,刘小山,2,硕士研究生,,N/A,N/A,
30380757,廉晓婵,2,硕士研究生,10143735,南开大学,经济学,5
30380765,李旭利,2,硕士研究生,104432,中国人民银行研究生部,经济学,5
30380779,梁丰,2,硕士研究生,10229494,浙江大学,经济学,5
30380780,梁戈伟,3,本科,10143878,厦门大学,金融学,5
30380783,李学文,2,硕士研究生,10363772,中国人民银行金融研究所,经济学,5
30380790,刘心峰,2,硕士研究生,10241662,英国曼彻斯特大学,数量金融,5
30380809,刘欣,2,硕士研究生,,N/A,经济学,5
30380828,刘新勇,2,硕士研究生,,N/A,N/A,
30380128,荆一帆,2,硕士研究生,,N/A,N/A,
30380845,刘兴旺,2,硕士研究生,10149414,复旦大学,"经济学,管理学",5
30380131,敬夏玺,2,硕士研究生,10229548,中央财经大学,金融学,5
30380134,林作平,2,硕士研究生,,N/A,经济学,5
30380860,刘旭明,2,硕士研究生,10143851,清华大学,管理学,6
30380139,李昇,2,硕士研究生,,N/A,N/A,
30380872,刘耀军,2,硕士研究生,10241651,美国杜兰大学,工商管理,3
30380141,鞠柏辉,2,硕士研究生,10229494,浙江大学,工商管理,3
30380873,刘阳,2,硕士研究生,,N/A,N/A,
30380895,刘洋,2,硕士研究生,10143851,清华大学,经济学,5
30380903,刘保民,2,硕士研究生,,N/A,经济学,5
30380920,刘莹,2,硕士研究生,10229531,中国科学院,管理科学与工程,6
