behavior_id,user_id,product_id,behavior_type,behavior_time,duration_seconds
B00000250,U003577,P000918,浏览,2026-01-10 21:19:35.768433,467
B00000251,U000004,P000261,点击,2026-01-10 13:51:35.768433,404
B00000252,U003070,P001236,加购,2025-12-14 19:00:35.768433,0
B00000253,U003291,P001912,浏览,2026-01-07 06:15:35.768433,33
B00000254,U003660,P001579,浏览,2026-01-04 00:17:35.768433,105
B00000255,U004892,P000610,点击,2025-12-27 11:31:35.768433,539
B00000256,U003939,P000798,浏览,2026-02-11 09:04:35.768433,207
B00000257,U004312,P000586,收藏,2026-01-15 01:33:35.768433,0
B00000258,U001603,P001664,浏览,2026-02-14 22:17:35.768433,196
B00000259,U004800,P001509,加购,2025-12-05 04:22:35.768433,0
B00000260,U004827,P001568,点击,2026-02-08 05:46:35.768433,372
B00000261,U003974,P000216,收藏,2025-12-16 22:43:35.768433,0
B00000262,U002543,P000785,浏览,2026-01-06 09:35:35.768433,494
B00000263,U001643,P000364,浏览,2026-01-05 13:36:35.768433,589
B00000264,U001490,P000067,浏览,2026-02-18 07:09:35.768433,528
B00000265,U004059,P000231,点击,2026-01-18 20:42:35.768433,125
B00000266,U003234,P000383,浏览,2025-12-19 01:15:35.768433,398
B00000267,U001696,P000235,点击,2026-02-01 09:17:35.768433,368
B00000268,U001387,P000154,收藏,2025-12-09 12:49:35.768433,0
B00000269,U004793,P001036,浏览,2026-03-02 05:21:35.768433,241
B00000270,U001198,P001061,浏览,2026-02-11 13:16:35.768433,379
B00000271,U002286,P001706,浏览,2026-01-11 22:10:35.768433,158
B00000272,U000988,P001337,加购,2026-01-23 12:58:35.768433,0
B00000273,U003990,P000012,加购,2026-03-01 03:31:35.768433,0
B00000274,U002960,P000174,浏览,2026-01-18 23:36:35.768433,272
B00000275,U001262,P001249,浏览,2025-12-26 23:13:35.768433,421
B00000276,U004726,P000155,浏览,2026-02-02 17:33:35.768433,199
B00000277,U001256,P000846,点击,2025-12-27 19:30:35.768433,442
B00000278,U000588,P000519,点击,2026-02-15 02:07:35.768433,57
B00000279,U001541,P001002,点击,2026-01-09 14:16:35.768433,271
B00000280,U000794,P000236,浏览,2026-01-05 23:59:35.768433,193
B00000281,U003917,P001062,浏览,2026-02-01 22:46:35.768433,340
B00000282,U002021,P001968,浏览,2025-12-28 04:09:35.768433,591
B00000283,U000119,P000298,点击,2026-02-28 20:18:35.768433,600
B00000284,U001214,P001268,浏览,2026-01-17 21:29:35.768433,26
B00000285,U000614,P000123,浏览,2025-12-17 22:58:35.768433,269
B00000286,U004582,P001516,浏览,2026-02-21 10:06:35.768433,12
B00000287,U004418,P001691,浏览,2026-02-23 11:39:35.768433,75
B00000288,U004235,P001930,点击,2025-12-13 23:19:35.768433,252
B00000289,U003474,P000298,浏览,2026-01-10 10:37:35.768433,592
B00000290,U003298,P000758,加购,2026-02-09 23:22:35.768433,0
B00000291,U001290,P001978,浏览,2025-12-11 22:42:35.768433,325
B00000292,U002381,P000875,浏览,2026-02-23 09:31:35.768433,578
B00000293,U000224,P001065,点击,2026-02-09 04:22:35.768433,593
B00000294,U004668,P001289,收藏,2026-01-26 03:06:35.768433,0
B00000295,U002824,P001132,加购,2025-12-26 14:54:35.768433,0
B00000296,U003015,P001250,浏览,2026-02-27 11:02:35.768433,526
B00000297,U002641,P001198,浏览,2026-01-04 15:50:35.768433,86
B00000298,U004905,P001129,浏览,2026-01-09 13:51:35.768433,526
B00000299,U000987,P001885,浏览,2025-12-07 17:21:35.768433,302
B00000300,U001024,P000338,点击,2025-12-31 01:36:35.768433,246
B00000301,U001544,P001718,浏览,2025-12-18 09:40:35.768433,195
B00000302,U001273,P001629,收藏,2026-02-10 01:20:35.768433,0
B00000303,U001780,P001655,点击,2026-01-30 22:12:35.768433,291
B00000304,U001701,P000990,浏览,2026-02-07 21:48:35.768433,319
B00000305,U003931,P000121,点击,2026-01-11 01:30:35.768433,375
B00000306,U002235,P001211,浏览,2026-01-29 14:09:35.768433,513
B00000307,U004345,P000781,收藏,2025-12-19 02:18:35.768433,0
B00000308,U003199,P000854,浏览,2026-02-21 15:24:35.768433,323
B00000309,U003160,P001552,浏览,2026-03-03 00:18:35.768433,244
B00000310,U003984,P000941,浏览,2026-02-05 19:59:35.768433,324
B00000311,U001024,P000544,收藏,2026-01-27 22:53:35.768433,0
B00000312,U003840,P000424,收藏,2025-12-18 08:01:35.768433,0
B00000313,U000826,P001370,收藏,2026-01-11 02:00:35.768433,0
B00000314,U002737,P001119,收藏,2026-01-22 05:14:35.768433,0
B00000315,U003407,P001964,浏览,2026-01-04 05:38:35.768433,192
B00000316,U002775,P001130,点击,2026-01-21 12:18:35.768433,327
B00000317,U004633,P001910,收藏,2026-01-20 08:29:35.768433,0
B00000318,U000492,P000994,收藏,2026-01-04 23:07:35.768433,0
B00000319,U001860,P001711,浏览,2026-02-07 04:54:35.768433,368
B00000320,U002340,P000881,点击,2026-02-12 01:14:35.768433,82
B00000321,U000592,P001532,浏览,2026-02-01 10:36:35.768433,166
B00000322,U002735,P000326,点击,2025-12-11 04:33:35.768433,164
B00000323,U001493,P000956,点击,2025-12-15 07:03:35.768433,575
B00000324,U000948,P000291,点击,2026-01-20 20:25:35.768433,417
B00000325,U001576,P000331,点击,2025-12-28 11:19:35.768433,346
B00000326,U000683,P001468,收藏,2026-01-27 12:10:35.768433,0
B00000327,U000629,P001573,收藏,2025-12-09 08:37:35.768433,0
B00000328,U004689,P001558,浏览,2026-02-14 03:01:35.768433,150
B00000329,U004483,P001933,点击,2026-02-12 03:16:35.768433,232
B00000330,U004748,P000912,浏览,2025-12-23 09:12:35.768433,518
B00000331,U002241,P001754,浏览,2026-03-03 13:03:35.768433,169
B00000332,U003755,P001622,浏览,2026-01-02 15:14:35.768433,110
B00000333,U000101,P000316,浏览,2025-12-27 18:14:35.768433,55
B00000334,U001094,P001066,浏览,2025-12-18 19:32:35.768433,450
B00000335,U002492,P001677,点击,2026-01-14 16:25:35.768433,162
B00000336,U003773,P001751,浏览,2026-02-19 04:20:35.768433,556
B00000337,U000433,P001983,点击,2026-02-11 16:49:35.768433,395
B00000338,U000537,P000672,收藏,2026-01-13 05:12:35.768433,0
B00000339,U000601,P000279,浏览,2026-01-19 16:12:35.768433,570
B00000340,U001667,P001707,浏览,2025-12-19 14:18:35.768433,359
B00000341,U002756,P000160,浏览,2026-01-18 02:32:35.768433,143
B00000342,U000319,P001264,点击,2025-12-10 00:58:35.768433,105
B00000343,U004942,P000870,收藏,2025-12-14 12:06:35.768433,0
B00000344,U001863,P000156,浏览,2025-12-27 05:13:35.768433,48
B00000345,U003733,P000929,点击,2026-02-05 10:07:35.768433,45
B00000346,U001528,P000744,浏览,2026-01-05 12:46:35.768433,473
B00000347,U000071,P001434,点击,2026-01-07 16:39:35.768433,234
B00000348,U000444,P001246,点击,2026-02-11 10:20:35.768433,349
B00000349,U004695,P001361,点击,2026-03-05 04:45:35.768433,38
B00000350,U000387,P000682,点击,2026-01-22 07:57:35.768433,83
B00000351,U001870,P000285,浏览,2026-02-11 00:40:35.768433,212
B00000352,U004649,P001410,收藏,2026-02-21 10:01:35.768433,0
B00000353,U002012,P000755,浏览,2025-12-12 09:12:35.768433,192
B00000354,U002922,P000358,浏览,2026-01-12 15:58:35.768433,365
B00000355,U003352,P001698,浏览,2026-03-02 03:24:35.768433,477
B00000356,U000280,P000626,浏览,2026-02-16 02:59:35.768433,28
B00000357,U000771,P000878,点击,2025-12-31 20:00:35.768433,316
B00000358,U000954,P001446,浏览,2025-12-21 23:12:35.768433,298
B00000359,U004425,P000268,点击,2026-03-03 11:59:35.768433,91
B00000360,U001560,P000948,点击,2026-02-02 17:02:35.768433,270
B00000361,U002498,P000917,浏览,2025-12-15 06:55:35.768433,526
B00000362,U003447,P001115,浏览,2026-02-22 11:37:35.768433,151
B00000363,U003368,P001320,点击,2025-12-19 02:14:35.768433,157
B00000364,U003548,P000963,浏览,2025-12-25 05:43:35.768433,290
B00000365,U002441,P000357,浏览,2026-02-09 17:09:35.768433,219
B00000366,U000109,P000945,浏览,2026-01-16 22:43:35.768433,23
B00000367,U004455,P001946,加购,2026-02-03 17:08:35.768433,0
B00000368,U000956,P001332,浏览,2026-02-08 12:30:35.768433,192
B00000369,U003361,P001022,点击,2026-01-27 19:41:35.768433,352
B00000370,U003490,P000318,点击,2026-03-02 16:02:35.768433,337
B00000371,U000318,P001861,浏览,2026-01-05 08:23:35.768433,521
B00000372,U000341,P001902,浏览,2025-12-08 03:10:35.768433,539
B00000373,U004445,P001341,加购,2026-02-03 17:09:35.768433,0
B00000374,U002075,P000852,收藏,2025-12-31 02:31:35.768433,0
B00000375,U000638,P001020,点击,2025-12-18 11:43:35.768433,576
B00000376,U004497,P000302,浏览,2026-02-13 15:09:35.768433,378
B00000377,U004464,P001257,浏览,2026-02-25 21:51:35.768433,338
B00000378,U002391,P000584,点击,2026-03-01 00:55:35.768433,459
B00000379,U003989,P000619,浏览,2026-01-12 06:08:35.768433,218
B00000380,U005000,P000988,浏览,2026-01-15 19:48:35.768433,230
B00000381,U003194,P001437,浏览,2026-01-11 13:42:35.768433,505
B00000382,U003937,P001074,收藏,2025-12-27 18:53:35.768433,0
B00000383,U004282,P000361,收藏,2025-12-18 02:04:35.768433,0
B00000384,U002367,P000514,浏览,2026-03-02 08:08:35.768433,278
B00000385,U003003,P000960,浏览,2026-02-26 12:47:35.768433,177
B00000386,U004690,P001526,浏览,2026-01-13 22:49:35.768433,413
B00000387,U001566,P001090,浏览,2026-02-28 11:13:35.768433,12
B00000388,U000793,P001510,收藏,2025-12-30 01:57:35.768433,0
B00000389,U003705,P000870,浏览,2026-01-08 08:48:35.768433,561
B00000390,U002401,P001707,点击,2026-02-18 19:29:35.768433,372
B00000391,U000355,P000215,浏览,2026-01-31 03:50:35.768433,368
B00000392,U004202,P000138,点击,2026-02-18 23:28:35.768433,50
B00000393,U003896,P000877,浏览,2026-01-18 08:56:35.768433,143
B00000394,U004514,P001717,浏览,2026-01-21 17:40:35.768433,407
B00000395,U004018,P000860,收藏,2026-02-02 07:25:35.768433,0
B00000396,U004738,P001747,浏览,2026-01-31 19:17:35.768433,166
B00000397,U002253,P001820,浏览,2025-12-13 00:34:35.768433,388
B00000398,U000565,P000384,点击,2026-01-06 00:07:35.768433,117
B00000399,U003454,P000479,浏览,2026-02-02 14:17:35.768433,277
B00000400,U001303,P000002,点击,2026-01-27 00:10:35.768433,248
B00000401,U001751,P001693,收藏,2026-01-22 07:54:35.768433,0
